TimeGenerated,AwsEventId,EventName,EventSource,EventTypeName,EventVersion,AWSRegion,SourceIpAddress,UserIdentityType,UserIdentityUserName,UserIdentityArn,UserIdentityAccountId,UserIdentityPrincipalid,UserIdentityAccessKeyId,UserIdentityInvokedBy,UserIdentityUserId,UserAgent,ErrorCode,ErrorMessage,RequestParameters,ResponseElements,ReadOnly,ManagementEvent,RecipientAccountId,Category,AdditionalEventData,Resources,SourceSystem,OperationName,Type,SessionCreationDate,SessionIssuerAccountId,SessionIssuerArn,SessionIssuerType,SessionIssuerUserName,SessionMfaAuthenticated,SharedEventId,VpcEndpointId,SourcePort,DestinationPort,IpProtocol,CidrIp,EC2RoleDelivery,ServiceEventDetails,TlsVersion,CipherSuite,ClientProvidedHostHeader,APIVersion,AwsRequestId_,UserIdentityStoreArn
2025-12-15T08:12:33Z,a1b2c3d4-e5f6-7890-abcd-ef1234567890,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,198.51.100.23,IAMUser,admin-user,arn:aws:iam::123456789012:user/admin-user,123456789012,AIDACKCEVSQ6C2EXAMPLE,,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,,,"{""ConsoleLogin"": ""Success""}",False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""Yes"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,abc12345-6789-0def-ghij-klmnopqrstuv,
2025-12-15T08:15:47Z,b2c3d4e5-f6a7-8901-bcde-f12345678901,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Failed authentication,Failed authentication,,,False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,bcd23456-7890-1efg-hijk-lmnopqrstuvw,
2025-12-15T08:16:02Z,c3d4e5f6-a7b8-9012-cdef-123456789012,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Failed authentication,Failed authentication,,,False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,cde34567-8901-2fgh-ijkl-mnopqrstuvwx,
2025-12-15T08:16:19Z,d4e5f6a7-b8c9-0123-defa-234567890123,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,Failed authentication,Failed authentication,,,False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,def45678-9012-3ghi-jklm-nopqrstuvwxy,
2025-12-15T08:17:05Z,e5f6a7b8-c9d0-1234-efab-345678901234,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,us-east-1,203.0.113.50,IAMUser,dev-intern,arn:aws:iam::123456789012:user/dev-intern,123456789012,AIDACKCEVSQ6C3EXAMPLE,,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,,,,"{""ConsoleLogin"": ""Success""}",False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,efg56789-0123-4hij-klmn-opqrstuvwxyz,
2025-12-15T11:10:30Z,d6e7f8a9-b0c1-2345-defa-456789012345,GetObject,s3.amazonaws.com,AwsApiCall,1.08,us-east-1,198.51.100.99,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""bucketName"": ""company-sensitive-data"", ""key"": ""financial-reports/Q4-2025.xlsx""}","",True,False,123456789012,Data,,,"[{""accountId"": ""123456789012"", ""type"": ""AWS::S3::Object"", ""ARN"": ""arn:aws:s3:::company-sensitive-data/financial-reports/Q4-2025.xlsx""}]",CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,s3.amazonaws.com,,pab67890-1234-5stu-vwxy-zabcdefghijk,
2025-12-15T11:10:45Z,e7f8a9b0-c1d2-3456-efab-567890123456,GetObject,s3.amazonaws.com,AwsApiCall,1.08,us-east-1,198.51.100.99,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""bucketName"": ""company-sensitive-data"", ""key"": ""hr-data/employee-records.csv""}","",True,False,123456789012,Data,,,"[{""accountId"": ""123456789012"", ""type"": ""AWS::S3::Object"", ""ARN"": ""arn:aws:s3:::company-sensitive-data/hr-data/employee-records.csv""}]",CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,s3.amazonaws.com,,qab78901-2345-6tuv-wxyz-abcdefghijkl,
2025-12-15T11:11:02Z,f8a9b0c1-d2e3-4567-fabc-678901234567,GetObject,s3.amazonaws.com,AwsApiCall,1.08,us-east-1,198.51.100.99,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""bucketName"": ""company-sensitive-data"", ""key"": ""credentials/aws-keys-backup.txt""}","",True,False,123456789012,Data,,,"[{""accountId"": ""123456789012"", ""type"": ""AWS::S3::Object"", ""ARN"": ""arn:aws:s3:::company-sensitive-data/credentials/aws-keys-backup.txt""}]",CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,s3.amazonaws.com,,rab89012-3456-7uvw-xyza-bcdefghijklm,
2025-12-15T11:45:00Z,a9b0c1d2-e3f4-5678-abcd-789012345678,DisableKey,kms.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""keyId"": ""arn:aws:kms:us-east-1:123456789012:key/mrk-1234abcd5678efgh""}","{""keyMetadata"": {""keyState"": ""Disabled""}}",False,True,123456789012,Management,,,"[{""accountId"": ""123456789012"", ""type"": ""AWS::KMS::Key"", ""ARN"": ""arn:aws:kms:us-east-1:123456789012:key/mrk-1234abcd5678efgh""}]",CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,kms.amazonaws.com,,sab90123-4567-8vwx-yzab-cdefghijklmn,
2025-12-15T12:00:15Z,b0c1d2e3-f4a5-6789-bcde-890123456789,DescribeInstances,ec2.amazonaws.com,AwsApiCall,1.08,us-east-1,198.51.100.23,IAMUser,admin-user,arn:aws:iam::123456789012:user/admin-user,123456789012,AIDACKCEVSQ6C2EXAMPLE,AKIAIOSFODNN7EXAMPLE,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,,,"{""instancesSet"": {}, ""filterSet"": {}}","",True,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,ec2.amazonaws.com,2016-11-15,tab01234-5678-9wxy-zabc-defghijklmno,
2025-12-15T12:05:33Z,c1d2e3f4-a5b6-7890-cdef-901234567890,AssumeRole,sts.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,AKIAI44QH8DHBEXAMPLE,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""roleArn"": ""arn:aws:iam::123456789012:role/OrganizationAccountAccessRole"", ""roleSessionName"": ""cross-account-session""}","{""credentials"": {""accessKeyId"": ""ASIAQRSTUVWXYZ12345"", ""expiration"": ""2025-12-15T13:05:33Z""}, ""assumedRoleUser"": {""assumedRoleId"": ""AROAQRSTUVWXYZ12345:cross-account-session"", ""arn"": ""arn:aws:sts::123456789012:assumed-role/OrganizationAccountAccessRole/cross-account-session""}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,sts.amazonaws.com,,uab12345-6789-0xyz-abcd-efghijklmnop,
2025-12-15T12:15:00Z,d2e3f4a5-b6c7-8901-defa-012345678901,PutBucketAcl,s3.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,AssumedRole,cross-account-session,arn:aws:sts::123456789012:assumed-role/OrganizationAccountAccessRole/cross-account-session,123456789012,AROAQRSTUVWXYZ12345:cross-account-session,,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""bucketName"": ""company-backups"", ""AccessControlPolicy"": {""AccessControlList"": {""Grant"": [{""Grantee"": {""URI"": ""http://acs.amazonaws.com/groups/global/AllUsers""}, ""Permission"": ""READ""}]}}}","",False,True,123456789012,Management,,,"[{""accountId"": ""123456789012"", ""type"": ""AWS::S3::Bucket"", ""ARN"": ""arn:aws:s3:::company-backups""}]",CloudTrail,AWSCloudTrail,2025-12-15T12:05:33Z,123456789012,arn:aws:iam::123456789012:role/OrganizationAccountAccessRole,Role,OrganizationAccountAccessRole,False,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,s3.amazonaws.com,,vab23456-7890-1yza-bcde-fghijklmnopq,
2025-12-15T12:30:44Z,e3f4a5b6-c7d8-9012-efab-123456789012,ModifyInstanceAttribute,ec2.amazonaws.com,AwsApiCall,1.08,us-east-1,203.0.113.50,AssumedRole,cross-account-session,arn:aws:sts::123456789012:assumed-role/OrganizationAccountAccessRole/cross-account-session,123456789012,AROAQRSTUVWXYZ12345:cross-account-session,,,,aws-cli/2.15.0 Python/3.11.6 Linux/5.15.0,,,,"{""instanceId"": ""i-0a1b2c3d4e5f67890"", ""userData"": ""IyEvYmluL2Jhc2gKY3VybCBodHRwOi8vMjAzLjAuMTEzLjUwOjQ0NDMvc2hlbGwucHkgfCBiYXNo""}","",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,2025-12-15T12:05:33Z,123456789012,arn:aws:iam::123456789012:role/OrganizationAccountAccessRole,Role,OrganizationAccountAccessRole,False,,,,,,,,TLSv1.2,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,ec2.amazonaws.com,2016-11-15,wab34567-8901-2zab-cdef-ghijklmnopqr,
2025-12-15T13:00:00Z,f4a5b6c7-d8e9-0123-fabc-234567890123,ConsoleLogin,signin.amazonaws.com,AwsConsoleSignIn,1.08,eu-west-1,192.0.2.100,IAMUser,backdoor-admin,arn:aws:iam::123456789012:user/backdoor-admin,123456789012,AIDACKCEVSQ6C9EXAMPLE,,,,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,,,,"{""ConsoleLogin"": ""Success""}",False,True,123456789012,Management,"{""MobileVersion"": ""No"", ""MFAUsed"": ""No"", ""LoginTo"": ""https://eu-west-1.console.aws.amazon.com/console/home""}",,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,signin.amazonaws.com,,xab45678-9012-3abc-defg-hijklmnopqrs,
2025-12-15T14:22:18Z,a5b6c7d8-e9f0-1234-abcd-345678901234,TerminateInstances,ec2.amazonaws.com,AwsApiCall,1.08,us-east-1,198.51.100.23,IAMUser,admin-user,arn:aws:iam::123456789012:user/admin-user,123456789012,AIDACKCEVSQ6C2EXAMPLE,AKIAIOSFODNN7EXAMPLE,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,,,"{""instancesSet"": {""items"": [{""instanceId"": ""i-0a1b2c3d4e5f67890""}, {""instanceId"": ""i-0b2c3d4e5f6a78901""}, {""instanceId"": ""i-0c3d4e5f6a7b89012""}, {""instanceId"": ""i-0d4e5f6a7b8c90123""}, {""instanceId"": ""i-0e5f6a7b8c9d01234""}]}}","{""instancesSet"": {""items"": [{""instanceId"": ""i-0a1b2c3d4e5f67890"", ""currentState"": {""name"": ""shutting-down""}}, {""instanceId"": ""i-0b2c3d4e5f6a78901"", ""currentState"": {""name"": ""shutting-down""}}, {""instanceId"": ""i-0c3d4e5f6a7b89012"", ""currentState"": {""name"": ""shutting-down""}}, {""instanceId"": ""i-0d4e5f6a7b8c90123"", ""currentState"": {""name"": ""shutting-down""}}, {""instanceId"": ""i-0e5f6a7b8c9d01234"", ""currentState"": {""name"": ""shutting-down""}}]}}",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,ec2.amazonaws.com,2016-11-15,yab56789-0123-4bcd-efgh-ijklmnopqrst,
2025-12-15T14:30:00Z,b6c7d8e9-f0a1-2345-bcde-456789012345,DeleteUser,iam.amazonaws.com,AwsApiCall,1.08,us-east-1,198.51.100.23,IAMUser,admin-user,arn:aws:iam::123456789012:user/admin-user,123456789012,AIDACKCEVSQ6C2EXAMPLE,AKIAIOSFODNN7EXAMPLE,,,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,,,,"{""userName"": ""backdoor-admin""}","",False,True,123456789012,Management,,,[],CloudTrail,AWSCloudTrail,,,,,,,,,,,,,TLSv1.3,TLS_AES_128_GCM_SHA256,iam.amazonaws.com,,zab67890-1234-5cde-fghi-jklmnopqrstu,
